"director","title_count"
"Terry Jones","1"
"Will Canon","1"
"Ben Patterson","1"
"Michel Tikhomiroff","1"
"Colin Strause, Greg Strause","1"
"Nicholas Hytner","1"
"Ahmet Katıksız","1"
"Paula Apsell, Kirk Wolfinger","1"
"Giancarlo Esposito","1"
"Mark Craig","1"
"Abhishek Varman","1"
"Jaume Collet-Serra","1"
"Remi Weekes","1"
"Eric Idle, Aubrey Powell","1"
"Álvaro Longoria, Gerardo Olivares","1"
"Christian Zübert","1"
"David Guy Levy","1"
"Henrik Ruben Genz","1"
"Norberto López Amado","1"
"Rodrigo Triana","1"
"Kiki Goshay, Jacqueline Monetta","1"
"Puneet Sira","1"
"Haissam Hussain","1"
"So Yong Kim","1"
"Tony Kaye","1"
"Hanno Olderdissen","1"
"Matheus Souza","1"
"Alan Yang","1"
"Armando Iannucci","1"
"Sam Hobkinson","1"
"Kyle Rideout","1"
"Arjun Gourisaria, Moinak Biswas","1"
"Brit McAdams","1"
"Lucien Bourjeily","1"
"William Wyler, John Sturges","1"
"Tiffanie Hsu","1"
"Dheeraj Berry","1"
"Joe Nussbaum","1"
"Courtney Hunt","1"
"Mary Harron","1"
"Jamie M. Dagg","1"
"Sam de Jong","1"
"Daniel Lee","1"
"Marla M. Ancheta","1"
"Dianne Dreyer","1"
"Arthur Allan Seidelman","1"
"Sarjun","1"
"Raja Menon","1"
"Lorena Munoz","1"
"Robi Michael","1"
"Yasuhiro Irie","1"
"Shamyl Othman","1"
"Derek Yee","1"
"Mike Fleiss","1"
"Sung Do-jun","1"
"Terry Loane","1"
"Leticia Jorge Romero","1"
"Rohan Sippy","1"
"Dejan Zečević","1"
"Gauravv K Chawla","1"
"Camille Shooshani","1"
"Daniel Benmayor","1"
"Kristin Hanggi","1"
"Rajesh Touchriver","1"
"Ayaan Mukherji","1"
"Renny Harlin","1"
"Shivendra Singh Dungarpur","1"
"Franziska Meyer Price","1"
"Yuki Tanada","1"
"Khalid Mohamed","1"
"Sarik Andreasyan","1"
"Naya Anindita","1"
"Moataz El Tony","1"
"Leandro Mark, Nicolás Silbert","1"
"Adam Nimoy","1"
"Karan Malhotra","1"
"Adam Sjöberg","1"
"Jesús Magaña Vázquez","1"
"Monique Gardenberg","1"
"Inas El-Degheidy","1"
"Matt Palmer","1"
"Chris Perkel","1"
"Eric Summer, Éric Warin","1"
"Tolga Karaçelik","1"
"Clay Kaytis","1"
"Keenen Ivory Wayans","1"
"Binu Ulahhannan","1"
"Carey McKenzie","1"
"Rana Eid","1"
"Akhil Paul, Anas Khan","1"
"Sonia Lowman","1"
"Shawn Crahan","1"
"Nguyen Thanh Tung","1"
"Richard van't Riet","1"
"David Blair","1"
"Christian Charles","1"
"Jijo Pancode","1"
"Hemant Gaba, Pratim D. Gupta, Sudhish Kamath, Nalan Kumarasamy, Anu Menon, Sandeep Mohan, Qaushiq Mukherjee, Rajshree Ojha, Raja Sen, Abhinav Shiv Tiwari, Suparn Verma","1"
"Ellena Wood, Jesse Vile","1"
"Tejas Prabha Vijay Deoskar","1"
"Aytaç Ağırlar","1"
"Ross Kauffman","1"
"Hang-Jun Jang","1"
"Naoto Amazutsumi","1"
"Luis Mandoki","1"
"Beth Sleven, Allan Jacobsen, Kevin Wotton","1"
"Hèctor Hernández Vicens","1"
"Yeung Yat-Tak","1"
"Shawn Arranha","1"
"Matias Mariani","1"
"Michael Del Monte","1"
"Nimród Antal","1"
"Chris Kelly","1"
"Mohammed Alhmly","1"
"Aditya Vikram Sengupta","1"
"Geoffrey Orthwein, Andrew Sullivan","1"
"Bob Nelson","1"
"Rod Cabatana Marmol","1"
"Halder Gomes","1"
"Wash Westmoreland","1"
"Matt D'Elia","1"
"Manish Tiwary","1"
"Michael Winnick","1"
"Andrew Slater","1"
"Roberto Santucci","1"
"Ding-Lin Wang","1"
"Lee Chang-dong","1"
"Daniele Thompson","1"
"Mark Rosman","1"
"Marek Losey","1"
"Sabrina Rochelle Kalangie","1"
"R. Kannan","1"
"Sudabeh Mortezai","1"
"Lawrence Cheng","1"
"Kranthi Madhav","1"
"Chung Mong-hong","1"
"Sajid Khan","1"
"Craig Anderson","1"
"Justin Chon","1"
"Jacob Joice","1"
"Axelle Laffont","1"
"Colin Trevorrow","1"
"Jeremiah Zagar","1"
"Gary Mak","1"
"Joshua Caldwell","1"
"Sagar Sarhadi","1"
"Marco Risi","1"
"Rudy Soedjarwo","1"
"Pedring A. Lopez","1"
"Miguel Arteta","1"
"John Erick Dowdle","1"
"Alfonso Serrano Maturino","1"
"Sorin Dan Mihalcescu","1"
"Hasraf Dulull","1"
"Sarah Moshman","1"
"Jean-Simon Chartier","1"
"Mike McCoy, Scott Waugh","1"
"Peter Mimi","1"
"Safdar Rahman","1"
"Christian E. Christiansen","1"
"Makoto Shinkai","1"
"Sushrut Jain","1"
"Felix Binder","1"
"Rachel Griffiths","1"
"Daniel McCabe","1"
"Jacob Schwab","1"
"Luis Prieto","1"
"Vikram Gandhi","1"
"Josh Izenberg, Wynn Padula","1"
"Paul Urkijo Alijo","1"
"Weica Wang","1"
"Matthias Hoene","1"
"Harry Elfont, Deborah Kaplan","1"
"Vandana Kataria","1"
"Bauddhayan Mukherji","1"
"Sean Baker","1"
"Muhammad Fadl, Hany Motawie","1"
"Dylan Haegens, Bas van Teylingen","1"
"Ana Kokkinos","1"
"Karan Anshuman","1"
"Zhang Yimou","1"
"Naman Nitin Mukesh","1"
"Benedict Andrews","1"
"Steven Gomez","1"
"Edoardo Ponti","1"
"Tobe Hooper","1"
"Kiko Cruz Claverol, Patricia Font","1"
"Mike Birbiglia","1"
"Ishi Rudell, Jayson Thiessen","1"
"Bassam Tariq","1"
"Madeleine Gavin","1"
"Emir Kusturica","1"
"Randall Lobb","1"
"Max Lang, Jani Lachauer","1"
"Nandita Das","1"
